index,Наименование параметра,676П
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры горизонтального (углового) стола, мм",250 х 800
3,"Размеры вертикального стола, мм",250 х 630
4,"Максимальная масса обрабатываемой детали, кг",100
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..460
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..380
7,"Вылет оси вертикального шпинделя, мм",125..375
8,"Наибольший продольный ход стола (X), мм",400
9,"Наибольший поперечный ход шпиндельной бабки вертикального шпинделя (Y), мм",250
10,"Наибольший вертикальный ход стола (Z), мм",380
11,Вертикальный и горизонтальный шпиндели,
12,"Частота вращения горизонтального шпинделя, об/мин",50..1630
13,"Частота вращения вертикального шпинделя, об/мин",63..2040
14,Количество скоростей горизонтального и вертикального шпинделя,16
15,"Цена деления лимбов, мм",005
16,"Цена деления линеек, мм",10
17,Конус горизонтального и вертикального шпинделей,Морзе 4
18,"Пределы подач шпиндельной бабки, мм/мин",13..395
19,Количество подач шпиндельной бабки,16
20,"Ускоренный ход шпиндельной бабки, м/мин",09
21,"Максимальное усилие подачи бабки, Н",
22,"Максимальный допустимый крутящий момент на шпинделе горизонтальном/ вертикальном, Нм",
23,Зажим-отжим инструмента,Ручной
24,Торможение шпинделя,нет
25,"Усилие зажима инструмента, Н",
26,Вертикальная фрезерная головка,
27,"Наибольшее осевое перемещение гильзы вертикального шпинделя, мм",60
28,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90
29,"Масса вертикальной фрезерной головки, кг",
30,Стол угловой горизонтальный,
31,Количество подач стола в продольном и вертикальном направлении,16
32,"Пределы продольных и вертикальных подач стола (X. Y), мм/мин",13..395
33,"Ускоренный ход стола в продольном и вертикальном направлении, м/мин",0935
34,"Максимальное усилие подачи стола, Н",
35,Число Т - образных пазов,5
36,Масса углового горизонтального стола,
37,Угловой универсальный стол,
38,"Размеры горизонтального универсального стола, мм",200 х 630
39,"Наибольший угол поворота в горизонтальной плоскости, град",±20°
40,"Наклон длинной стороны, град",±45°
41,"Наклон короткой стороны, град",±30°
42,Масса углового горизонтального стола,
43,Привод и электрооборудование станка,
44,Количество электродвигателей на станке,2
45,"Электродвигатель главного привода, кВт",22
46,"Электродвигатель зажима инструмента вертикального шпинделя, кВт",-
47,"Электродвигатель зажима инструмента горизонтального шпинделя, кВт",-
48,"Электродвигатель привода насоса охлаждения, кВт",012
49,"Суммарная мощность электродвигателей, кВт",232
50,Габариты и масса станка,
51,"Габариты станка (длина х ширина х высота), мм",1282 х 1215 х 1780
52,"Масса станка, кг",910
